title,price,area_info
"4 BHK Villa for Sale in Mukund Majesty Phase A 1, Salaiya Bhopal","₹
99 Lac
₹5,946 per sqft","SUPER AREA
1665 sqft
UNDER CONSTRUCTION
Poss. by Sep '27
TRANSACTION
New Property
FURNISHING
Unfurnished
SOCIETY
Mukund Majesty Phase A 1
CAR PARKING
1 Covered"
"4 BHK Apartment for Sale in Chetanya Grandeur Heights, Bawadiya Kalan Bhopal","₹
1.25 Cr
₹5,208 per sqft","SUPER AREA
2400 sqft
UNDER CONSTRUCTION
Poss. by May '26
TRANSACTION
New Property
FURNISHING
Unfurnished
SOCIETY
Chetanya Grandeur Heights
CAR PARKING
1 Covered"
"3 BHK Apartment for Sale in Shilpi Eco Towers, Bawadiya Kalan Bhopal","₹
1.55 Cr
₹7,315 per sqft","SUPER AREA
2119 sqft
STATUS
Ready to Move
TRANSACTION
New Property
FURNISHING
Unfurnished
SOCIETY
Shilpi Eco Towers
CAR PARKING
1 Covered"
"3 BHK Apartment for Sale in Aryavrat British Park, Hoshangabad Road Bhopal","₹
47.3 Lac
₹2,336 per sqft","SUPER AREA
2025 sqft
STATUS
Ready to Move
TRANSACTION
New Property
FURNISHING
Unfurnished
SOCIETY
Aryavrat British Park
BATHROOM
3"
"3 BHK Villa for Sale in Regal Royal Garden, Awadhpuri Bhopal","₹
1.34 Cr
₹6,768 per sqft","SUPER AREA
1980 sqft
UNDER CONSTRUCTION
Poss. by Dec '27
TRANSACTION
New Property
FURNISHING
Unfurnished
SOCIETY
Regal Royal Garden
CAR PARKING
1 Covered"
"3 BHK Apartment for Sale in Dream Heights, Bawadiya Kalan Bhopal","₹
70 Lac
₹5,460 per sqft","SUPER AREA
1282 sqft
UNDER CONSTRUCTION
Poss. by Jun '26
TRANSACTION
New Property
FURNISHING
Unfurnished
SOCIETY
Dream Heights
CAR PARKING
1 Covered"
"Plot/Land for Sale in Sage Sun Villas Phase I, Katara Hills Bhopal","₹
2.60 Cr
₹4,000 per sqft","PLOT AREA
6500 sqft
TRANSACTION
New Property"
3 BHK Apartment for Sale in Salaiya Bhopal,"₹
90 Lac
₹3,871 per sqft","CARPET AREA
1472 sqft
UNDER CONSTRUCTION
Poss. by Jul '28
FLOOR
1 out of 10"
Shop for Sale in Kolar Road Bhopal,"₹
50 Lac
₹25,000 per sqft","CARPET AREA
190 sqft
STATUS
Ready to Move
FLOOR
Ground out of 3"
Plot/Land for Sale in Katara Hills Bhopal,"₹
1.25 Cr
₹641 per sqft","PLOT AREA
2166 sqyrd
DIMENSIONS (L X B)
60.17 X 36
TRANSACTION
Resale"
"3 BHK Apartment for Sale in Chinarr Dream CT, Hoshangabad Road Bhopal","₹
34 Lac
₹2,429 per sqft","SUPER AREA
1400 sqft
STATUS
Ready to Move
FLOOR
5 out of 7"
"5 BHK Villa for Sale in Shree Golden City, Hoshangabad Road Bhopal","₹
6.94 Cr
₹9,914 per sqft","CARPET AREA
5500 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
"3 BHK Apartment for Sale in Sterling Globe Grand, Hoshangabad Road Bhopal","₹
45 Lac
₹4,091 per sqft","CARPET AREA
1100 sqft
STATUS
Ready to Move
FLOOR
4 out of 8"
Plot/Land for Sale in Bagmugaliya Bhopal,"₹
95 Lac
₹7,308 per sqft","PLOT AREA
1300 sqft
DIMENSIONS (L X B)
44.07 X 29.5
OWNERSHIP
Freehold"
Plot/Land for Sale in Ahmedpur Kalan Bhopal,"₹
6.50 Cr
₹6,500 per sqft","PLOT AREA
10000 sqft
TRANSACTION
Resale
FLOORS ALLOWED FOR CONSTRUCTION
1"
7 BHK House for Sale in Idgah Hills Bhopal,"₹
3 Cr
₹7,895 per sqft","SUPER AREA
3800 sqft
STATUS
Ready to Move
FLOOR
2 out of 2"
4 BHK House for Sale in Kohefiza Bhopal,"₹
1.92 Cr
₹12,000 per sqft","SUPER AREA
1600 sqft
STATUS
Ready to Move
FLOOR
1 out of 2"
3 BHK House for Sale in Bagli Village Bhopal,"₹
95 Lac
₹4,524 per sqft","SUPER AREA
2100 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
"Shop for Sale in Sage Milestone, Hoshangabad Road Bhopal","₹
45 Lac
₹15,957 per sqft","CARPET AREA
194 sqft
STATUS
Ready to Move
FLOOR
Ground out of 6"
4 BHK Villa for Sale in Kolar Road Bhopal,"₹
99 Lac
₹4,600 per sqft","CARPET AREA
1950 sqft
UNDER CONSTRUCTION
Poss. by Oct '26
TRANSACTION
Resale"
"3 BHK Apartment for Sale in Silver Estate Vertica, Katara Hills Bhopal","₹
36 Lac
₹2,956 per sqft","CARPET AREA
945 sqft
STATUS
Ready to Move
FLOOR
3 out of 6"
Shop for Sale in MP Nagar Zone-1 Bhopal,"₹
1.50 Cr
₹41,667 per sqft","CARPET AREA
345 sqft
STATUS
Ready to Move
FLOOR
Ground out of 1"
"2 BHK Apartment for Sale in Mohini Kirti Apartment, Indrapuri Bhopal","₹
27 Lac
₹3,375 per sqft","CARPET AREA
750 sqft
STATUS
Ready to Move
FLOOR
Ground out of 1"
2 BHK Apartment for Sale in Karond road Bhopal,"₹
23 Lac
₹2,190 per sqft","CARPET AREA
1050 sqft
STATUS
Ready to Move
FLOOR
4 out of 6"
"4 BHK Penthouse for Sale in virasha height, Bawadiya Kalan Bhopal","₹
1.75 Cr
₹5,833 per sqft","SUPER AREA
3000 sqft
STATUS
Ready to Move
FLOOR
6 out of 7"
"Plot/Land for Sale in Agrawal Sage Suncity, Katara Hills Bhopal","₹
24 Lac
₹4,000 per sqft","PLOT AREA
600 sqft
DIMENSIONS (L X B)
40 X 40
OWNERSHIP
Freehold"
Plot/Land for Sale in Chunabhatti Bhopal,"₹
85.8 Lac
₹6,500 per sqft","PLOT AREA
1320 sqft
DIMENSIONS (L X B)
61 X 21.64
OWNERSHIP
Freehold"
"4 BHK House for Sale in Ishaan Grand Estate, Hoshangabad Road Bhopal","₹
90 Lac
₹7,200 per sqft","CARPET AREA
2000 sqft
UNDER CONSTRUCTION
Poss. by Mar '27
TRANSACTION
New Property"
4 BHK Villa for Sale in Chunabhatti Bhopal,"₹
1.85 Cr
₹7,872 per sqft","CARPET AREA
2350 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
7 BHK Villa for Sale in Shahpura Bhopal,"₹
4.90 Cr
₹6,533 per sqft","CARPET AREA
6500 sqft
STATUS
Ready to Move
TRANSACTION
New Property"
Plot/Land for Sale in Satlapur Bhopal,"₹
8 Lac
₹2,067 per sqft","PLOT AREA
387 sqft
DIMENSIONS (L X B)
12 X 32.25
OWNERSHIP
Leasehold"
"Shop for Sale in Sagar High Street, Ayodhya Bypass Bhopal","₹
60 Lac
₹22,059 per sqft","SUPER AREA
272 sqft
STATUS
Ready to Move
FLOOR
Ground out of 1"
2 BHK House for Sale in Shri Ram Colony Bhopal,"₹
90 Lac
₹10,227 per sqft","CARPET AREA
800 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
"Office Space for Sale in M P Nagar, Maharana Pratap Nagar-Zone-2 Bhopal","₹
3 Cr
₹25,000 per sqft","SUPER AREA
1200 sqft
STATUS
Ready to Move
FLOOR
3 out of 3"
"Shop for Sale in Madan Maharaj Kasturi Trade Center, Karond Bhopal","₹
40 Lac
₹14,085 per sqft","CARPET AREA
284 sqft
STATUS
Ready to Move
FLOOR
1 out of 3"
Agricultural Land for Sale in Airport Road Bhopal,"₹
41.9 Lac
₹699 per sqft","PLOT AREA
6000 sqft
OWNERSHIP
Freehold
TRANSACTION
Resale"
Plot/Land for Sale in Palasi Jagir Bhopal,"₹
2.10 Cr
₹2,386 per sqft","PLOT AREA
8800 sqft
OWNERSHIP
Freehold
TRANSACTION
Resale"
"2 BHK Apartment for Sale in Fortune Divine City 2, Misrod Bhopal","₹
25.5 Lac
₹3,188 per sqft","SUPER AREA
800 sqft
STATUS
Ready to Move
FLOOR
3 out of 6"
Shop for Sale in Danish Nagar Bhopal,"₹
55 Lac
₹12,222 per sqft","CARPET AREA
450 sqft
STATUS
Ready to Move
FLOOR
2 out of 3"
4 BHK Villa for Sale in New Minal Residency Bhopal,"₹
1.55 Cr
₹5,536 per sqft","SUPER AREA
2800 sqft
STATUS
Ready to Move
TRANSACTION
New Property"
Plot/Land for Sale in Awadhpuri Bhopal,"₹
75 Lac
₹5,000 per sqft","PLOT AREA
1500 sqft
DIMENSIONS (L X B)
50 X 30
OWNERSHIP
Freehold"
3 BHK Apartment for Sale in Kolar Bhopal,"₹
28 Lac","CARPET AREA
1000 sqft
STATUS
Ready to Move
FLOOR
2 out of 4"
"3 BHK Apartment for Sale in DK 24 Carat, Bawadiya Kalan Bhopal","₹
1.75 Cr
₹12,672 per sqft","SUPER AREA
1381 sqft
STATUS
Ready to Move
TRANSACTION
New Property"
Plot/Land for Sale in Neelbad Bhopal,"₹
30 Lac
₹600 per sqft","PLOT AREA
5000 sqft
DIMENSIONS (L X B)
100 X 50
TRANSACTION
Resale"
Plot/Land for Sale in Sehore Road Bhopal,"₹
13 Lac
₹1,300 per sqft","PLOT AREA
1000 sqft
TRANSACTION
Resale
FLOORS ALLOWED FOR CONSTRUCTION
4"
"3 BHK Villa for Sale in CI Grand, Kolar Road Bhopal","₹
1.14 Cr
₹6,316 per sqft","SUPER AREA
1805 sqft
UNDER CONSTRUCTION
Poss. by Oct '26
TRANSACTION
New Property"
Showroom for Sale in E-7 Bhopal,"₹
8 Lac
₹105 per sqft","SUPER AREA
7600 sqft
STATUS
Ready to Move
FLOOR
Ground out of 3"
"3 BHK Apartment for Sale in Urban River Urban Heights, Salaiya Bhopal","₹
80 Lac
₹3,874 per sqft","SUPER AREA
2065 sqft
UNDER CONSTRUCTION
Poss. by Apr '26
TRANSACTION
New Property"
"3 BHK Villa for Sale in Hill View, Kolar Road Bhopal","₹
1.85 Cr
₹8,043 per sqft","SUPER AREA
2300 sqft
TRANSACTION
New Property
FURNISHING
Unfurnished"
"4 BHK Villa for Sale in Rishi Coral Wood Bungalows, Hoshangabad Road Bhopal","₹
1.95 Cr
₹6,610 per sqft","SUPER AREA
2950 sqft
STATUS
Ready to Move
TRANSACTION
New Property"
Plot/Land for Sale in Bagmugaliya Bhopal,"₹
1.05 Cr
₹6,600 per sqft","PLOT AREA
1597 sqft
DIMENSIONS (L X B)
34.72 X 46
OWNERSHIP
Freehold"
4 BHK Villa for Sale in Salaiya Bhopal,"₹
1 Cr
₹5,556 per sqft","CARPET AREA
1500 sqft
STATUS
Ready to Move
TRANSACTION
New Property"
"3 BHK Apartment for Sale in Parke Serene, Bawaria Kalan Bhopal","₹
32 Lac
₹2,783 per sqft","CARPET AREA
960 sqft
STATUS
Ready to Move
FLOOR
3 out of 6"
"2 BHK Apartment for Sale in Agrawal Sagar Lakeview Homes, Ayodhya Bypass Bhopal","₹
38 Lac
₹3,455 per sqft","CARPET AREA
700 sqft
STATUS
Ready to Move
FLOOR
6 out of 6"
"Plot/Land for Sale in CI Estate, Kolar Road Janki Nagar Bhopal","₹
45 Lac
₹400 per sqft","PLOT AREA
1250 sqyrd
DIMENSIONS (L X B)
50 X 25
OWNERSHIP
Freehold"
Plot/Land for Sale in Hoshangabad Road Bhopal,"₹
3.09 Cr
₹6,000 per sqft","PLOT AREA
5150 sqft
DIMENSIONS (L X B)
50 X 103
TRANSACTION
Resale"
Plot/Land for Sale in Danish Kunj Bhopal,"₹
1.40 Cr
₹6,667 per sqft","PLOT AREA
2100 sqft
DIMENSIONS (L X B)
60 X 35
OWNERSHIP
Freehold"
"3 BHK Apartment for Sale in Soumya Evergreen, Chuna Bhatti Bhopal","₹
45 Lac
₹3,763 per sqft","SUPER AREA
1196 sqft
STATUS
Ready to Move
FLOOR
2 out of 5"
Plot/Land for Sale in Ayodhya Nagar Extension Bhopal,"₹
67.5 Lac
₹1,350 per sqft","PLOT AREA
5000 sqft
OWNERSHIP
Freehold
TRANSACTION
Resale"
3 BHK Apartment for Sale in Bagh Mungaliya Bhopal,"₹
60 Lac","CARPET AREA
900 sqft
STATUS
Ready to Move
FLOOR
8 out of 9"
Plot/Land for Sale in Rapadia Village Bhopal,"₹
24 Lac
₹333 per sqft","PLOT AREA
800 sqyrd
DIMENSIONS (L X B)
20 X 40
TRANSACTION
Resale"
Plot/Land for Sale in Kalkhera Bhopal,"₹
1.41 Cr
₹1,300 per sqft","PLOT AREA
10890 sqft
TRANSACTION
Resale
FLOORS ALLOWED FOR CONSTRUCTION
5"
"2 BHK Apartment for Sale in Nirupam Royal Palms, Hoshangabad Road Bhopal","₹
35 Lac
₹4,118 per sqft","SUPER AREA
850 sqft
STATUS
Ready to Move
FLOOR
3 out of 5"
1 BHK House for Sale in Lambakheda Bhopal,"₹
25 Lac
₹4,167 per sqft","SUPER AREA
600 sqft
STATUS
Ready to Move
TRANSACTION
New Property"
4 BHK House for Sale in Gulmohar Colony Bhopal,"₹
1.80 Cr
₹13,333 per sqft","SUPER AREA
1350 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
"3 BHK Apartment for Sale in Rudraksh Kasturi, Hoshangabad Road Bhopal","₹
65 Lac
₹3,611 per sqft","CARPET AREA
1250 sqft
STATUS
Ready to Move
FLOOR
4 out of 10"
2 BHK House for Sale in Rishipuram Bhopal,"₹
60 Lac
₹5,455 per sqft","SUPER AREA
1100 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
Office Space for Sale in Trilanga Bhopal,"₹
65 Lac
₹7,647 per sqft","CARPET AREA
750 sqft
STATUS
Ready to Move
FLOOR
2 out of 4"
"4 BHK House for Sale in Ruchi Lifescapes, Hoshangabad Road Bhopal","₹
1.25 Cr
₹5,297 per sqft","SUPER AREA
2360 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
"3 BHK Villa for Sale in Alpine Jewel, Kolar Road Bhopal","₹
1.25 Cr
₹6,944 per sqft","CARPET AREA
1800 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
4 BHK House for Sale in Airport Road Bhopal,"₹
80 Lac
₹4,211 per sqft","SUPER AREA
1900 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
3 BHK House for Sale in Kolar Road Bhopal,"₹
65 Lac
₹5,652 per sqft","SUPER AREA
1150 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
Plot/Land for Sale in Airport Road Bhopal,"₹
28 Lac
₹800 per sqft","PLOT AREA
3500 sqft
TRANSACTION
New Property
OVERLOOKING
Main Road"
