title,price,area_info
1 BHK House for Sale in Idgah Hills Bhopal,"₹
2.27 Cr
₹5,400 per sqft","SUPER AREA
4219 sqft
UNDER CONSTRUCTION
Poss. by Dec '26
TRANSACTION
Resale"
4 BHK House for Sale in Salaiya Bhopal,"₹
1.20 Cr
₹5,000 per sqft","SUPER AREA
2400 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
4 BHK Villa for Sale in New Market Bhopal,"₹
3.50 Cr
₹10,000 per sqft","CARPET AREA
1450 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
"2 BHK Apartment for Sale in Centurion Sky, Katara Bhopal","₹
25 Lac
₹2,874 per sqft","SUPER AREA
870 sqft
STATUS
Ready to Move
FLOOR
2 out of 6"
Plot/Land for Sale in Hoshangabad Road Bhopal,"₹
35.2 Lac
₹3,099 per sqft","PLOT AREA
1135 sqft
DIMENSIONS (L X B)
50.2 X 22.61
OWNERSHIP
Freehold"
"4 BHK Villa for Sale in Sage Heritage, E8 Bhopal","₹
1.25 Cr
₹5,682 per sqft","SUPER AREA
2200 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
"3 BHK Apartment for Sale in virasha height, Bawaria Kalan Bhopal","₹
68 Lac
₹5,913 per sqft","CARPET AREA
1500 sqft
STATUS
Ready to Move
FLOOR
1 out of 6"
"2 BHK Apartment for Sale in Dwarika Parisar, Arvind Vihar Bhopal","₹
38 Lac
₹3,811 per sqft","SUPER AREA
997 sqft
STATUS
Ready to Move
FLOOR
2 out of 6"
"3 BHK Apartment for Sale in Sagar Premium Towers, Kolar Road Janki Nagar Bhopal","₹
50 Lac
₹3,226 per sqft","SUPER AREA
1550 sqft
STATUS
Ready to Move
FLOOR
1 out of 5"
5 BHK Villa for Sale in Bawadiya Kalan Bhopal,"₹
2.40 Cr
₹6,857 per sqft","SUPER AREA
3500 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
4 BHK House for Sale in Rohit nagar Bhopal,"₹
1.60 Cr
₹8,889 per sqft","CARPET AREA
1265 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
2 BHK Apartment for Sale in Bhanpur Bhopal,"₹
22 Lac
₹2,750 per sqft","SUPER AREA
800 sqft
STATUS
Ready to Move
FLOOR
5 out of 6"
"Plot/Land for Sale in My City, Kolar Road Janki Nagar Bhopal","₹
40 Lac
₹4,000 per sqft","PLOT AREA
1000 sqft
TRANSACTION
Resale
BOUNDARY
No"
1 BHK Builder Floor for Sale in Lalghati Bhopal,"₹
20 Lac
₹6,250 per sqft","SUPER AREA
320 sqft
STATUS
Ready to Move
FLOOR
2 out of 3"
"2 BHK Apartment for Sale in Fortune Pride, Trilanga Bhopal","₹
30 Lac","CARPET AREA
850 sqft
STATUS
Ready to Move
FLOOR
Ground out of 1"
"2 BHK Apartment for Sale in The Bellaire Mint, ASARAM BAPU SQUARE Bhopal","₹
25 Lac
₹2,500 per sqft","SUPER AREA
1000 sqft
STATUS
Ready to Move
FLOOR
4 out of 6"
"2 BHK Apartment for Sale in Asnani Spring Valley Dew, Katara Hills Bhopal","₹
28.5 Lac
₹2,836 per sqft","CARPET AREA
780 sqft
STATUS
Ready to Move
FLOOR
1 out of 6"
3 BHK House for Sale in Ashoka Garden Bhopal,"₹
50 Lac
₹3,571 per sqft","CARPET AREA
1000 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
4 BHK House for Sale in Awadhpuri Bhopal,"₹
1 Cr
₹3,937 per sqft","CARPET AREA
1276 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
Shop for Sale in Hamidia Road Bhopal,"₹
3.90 Cr
₹24,762 per sqft","CARPET AREA
1575 sqft
STATUS
Ready to Move
FLOOR
Ground out of 1"
5 BHK Farm House for Sale in Neelbad Bhopal,"₹
15 Lac
₹300 per sqft","SUPER AREA
5000 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
"3 BHK Apartment for Sale in Aryavrat British Park, Hoshangabad Road Bhopal","₹
39 Lac
₹2,308 per sqft","SUPER AREA
1690 sqft
STATUS
Ready to Move
FLOOR
3 out of 10"
2 BHK House for Sale in Bawadiya Kalan Bhopal,"₹
65 Lac
₹8,125 per sqft","CARPET AREA
625 sqft
STATUS
Ready to Move
FLOOR
1 out of 2"
Plot/Land for Sale in Chiklod Road Bhopal,"₹
10.2 Lac
₹702 per sqft","PLOT AREA
1452 sqft
TRANSACTION
Resale"
4 BHK House for Sale in Anandnagar Colony Bhopal,"₹
42.9 Lac
₹2,451 per sqft","SUPER AREA
1750 sqft
TRANSACTION
Resale
FURNISHING
Semi-Furnished"
2 BHK House for Sale in Suraj Nagar Bhopal,"₹
48 Lac
₹2,462 per sqft","CARPET AREA
1950 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
5 BHK Villa for Sale in Neelbad Bhopal,"₹
85 Lac
₹3,542 per sqft","CARPET AREA
1770 sqft
STATUS
Ready to Move
TRANSACTION
New Property"
"3 BHK Apartment for Sale in RKN Nakshatra Township, Awadhpuri Bhopal","₹
51.9 Lac
₹3,992 per sqft","SUPER AREA
1300 sqft
STATUS
Ready to Move
TRANSACTION
New Property
FURNISHING
Semi-Furnished
SOCIETY
RKN Nakshatra Township
CAR PARKING
1 Covered"
"3 BHK Villa for Sale in Ganpati Goldmine, Kolar Road Bhopal","₹
95 Lac
₹4,012 per sqft","SUPER AREA
2368 sqft
STATUS
Ready to Move
TRANSACTION
New Property
FURNISHING
Unfurnished
SOCIETY
Ganpati Goldmine
CAR PARKING
1 Covered"
"1 BHK Villa for Sale in Aamra Green, Kolar Road Bhopal","₹
38 Lac
₹4,898 per sqft","SUPER AREA
775 sqft
STATUS
Ready to Move
TRANSACTION
New Property
FURNISHING
Unfurnished
SOCIETY
Aamra Green
CAR PARKING
1 Covered"
"4 BHK Villa for Sale in Hills View Bungalow, Chunabhatti Bhopal","₹
1.12 Cr
₹5,600 per sqft","SUPER AREA
2000 sqft
STATUS
Ready to Move
TRANSACTION
New Property
FURNISHING
Unfurnished
SOCIETY
Hills View Bungalow
CAR PARKING
1 Covered"
"4 BHK Apartment for Sale in Bhojpal Shree Krishna Heights, Katara Hills Bhopal","₹
82.9 Lac
₹3,743 per sqft","SUPER AREA
2215 sqft
STATUS
Ready to Move
TRANSACTION
New Property
FURNISHING
Unfurnished
SOCIETY
Bhojpal Shree Krishna Heights
BATHROOM
4"
"3 BHK Villa for Sale in Fortune Atlantis Phase II, Katara Hills Bhopal","₹
99 Lac
₹11,786 per sqft","SUPER AREA
840 sqft
STATUS
Ready to Move
TRANSACTION
New Property
FURNISHING
Unfurnished
SOCIETY
Fortune Atlantis Phase II
BATHROOM
3"
2 BHK House for Sale in ANSHUL VIHAR COLONY Bhopal,"₹
40 Lac
₹3,333 per sqft","CARPET AREA
1200 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
Shop for Sale in bima kunj Bhopal,"₹
32 Lac
₹14,545 per sqft","CARPET AREA
220 sqft
STATUS
Ready to Move
FLOOR
Lower Basement out of 3"
3 BHK House for Sale in Green Park Colony Bhopal,"₹
36.7 Lac","TRANSACTION
Resale
FURNISHING
Semi-Furnished
BATHROOM
3"
2 BHK Builder Floor for Sale in Gopal Nagar Bhopal,"₹
13.5 Lac
₹2,015 per sqft","CARPET AREA
600 sqft
TRANSACTION
Resale
FURNISHING
Unfurnished"
2 BHK Builder Floor for Sale in Saket Nagar Bhopal,"₹
19 Lac
₹2,714 per sqft","SUPER AREA
700 sqft
STATUS
Ready to Move
FLOOR
3 out of 4"
House for Sale in Sector A Piplani Bhopal,"₹
22.6 Lac
₹2,449 per sqft","SUPER AREA
923 sqft
TRANSACTION
Resale"
1 BHK Apartment for Sale in Rachna Nagar Bhopal,"₹
20 Lac
₹5,882 per sqft","SUPER AREA
340 sqft
STATUS
Ready to Move
FLOOR
2 out of 3"
7 BHK House for Sale in Old City Bhopal,"₹
40 Lac
₹2,222 per sqft","SUPER AREA
1800 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
"2 BHK Apartment for Sale in RRG Township, 11Th Mile Road Bhopal","₹
21 Lac
₹2,059 per sqft","CARPET AREA
910 sqft
STATUS
Ready to Move
FLOOR
4 out of 6"
"3 BHK Apartment for Sale in Sagar Premium Towers, Kolar Road Janki Nagar Bhopal","₹
55 Lac
₹3,254 per sqft","CARPET AREA
1180 sqft
STATUS
Ready to Move
FLOOR
6 out of 7"
2 BHK House for Sale in Gopal Nagar Bhopal,"₹
62 Lac
₹7,750 per sqft","SUPER AREA
800 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
"3 BHK Apartment for Sale in Nikhil Bungalows, Hoshangabad Road Bhopal","₹
45 Lac
₹2,737 per sqft","CARPET AREA
1349 sqft
STATUS
Ready to Move
FLOOR
6 out of 6"
Plot/Land for Sale in Bhojpur Road Bhopal,"₹
12.8 Lac
₹178 per sqft","PLOT AREA
800 sqyrd
OWNERSHIP
Freehold
TRANSACTION
Resale"
"Plot/Land for Sale in Aakriti Highlands Spring, Indore Bhopal Highway Bhopal","₹
9 Lac
₹855 per sqft","PLOT AREA
117 sqyrd
TRANSACTION
Resale
FLOORS ALLOWED FOR CONSTRUCTION
2"
"2 BHK Apartment for Sale in Canal Kinship, Salaiya Bhopal","₹
37 Lac
₹5,068 per sqft","CARPET AREA
730 sqft
STATUS
Ready to Move
FLOOR
4 out of 6"
5 BHK House for Sale in Gulmohar Colony Bhopal,"₹
1.60 Cr
₹5,333 per sqft","CARPET AREA
1436 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
"3 BHK Apartment for Sale in Green City, Trilanga Bhopal","₹
60 Lac","CARPET AREA
2000 sqft
STATUS
Ready to Move
FLOOR
4 out of 5"
5 BHK House for Sale in Awadhpuri Bhopal,"₹
65 Lac
₹3,250 per sqft","SUPER AREA
2000 sqft
STATUS
Ready to Move
FLOOR
Ground out of 2"
Plot/Land for Sale in Lambakheda Bhopal,"₹
25 Lac
₹744 per sqft","PLOT AREA
3360 sqft
DIMENSIONS (L X B)
80 X 42
OWNERSHIP
Freehold"
Shop for Sale in Rajeev Nagar Ayodhya Nagar Bhopal,"₹
25 Lac
₹8,333 per sqft","CARPET AREA
300 sqft
STATUS
Ready to Move
FLOOR
Ground out of 3"
4 BHK House for Sale in Bairagarh Bhopal,"₹
85 Lac
₹8,947 per sqft","CARPET AREA
1900 sqft
STATUS
Ready to Move
FLOOR
2 out of 2"
"4 BHK Apartment for Sale in Agrawal Sagar Landmark, Ayodhya Bypass Road Bhopal","₹
75 Lac
₹3,659 per sqft","CARPET AREA
1500 sqft
STATUS
Ready to Move
FLOOR
7 out of 9"
"3 BHK Apartment for Sale in Sterling Globe Grand, Hoshangabad Road Bhopal","₹
40 Lac
₹3,735 per sqft","SUPER AREA
1071 sqft
STATUS
Ready to Move
FLOOR
6 out of 8"
3 BHK Apartment for Sale in Shivaji Nagar Bhopal,"₹
1.85 Cr
₹10,482 per sqft","SUPER AREA
1765 sqft
STATUS
Ready to Move
FLOOR
4 out of 10"
2 BHK House for Sale in Kotra Sultanabad Bhopal,"₹
90 Lac
₹10,000 per sqft","CARPET AREA
768 sqft
STATUS
Ready to Move
FLOOR
1 out of 2"
2 BHK Apartment for Sale in Rajharsh Colony Bhopal,"₹
20 Lac
₹2,500 per sqft","CARPET AREA
690 sqft
STATUS
Ready to Move
FLOOR
2 out of 4"
2 BHK House for Sale in Mandideep Bhopal,"₹
30 Lac
₹2,500 per sqft","CARPET AREA
900 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
Plot/Land for Sale in Chopra Kalan Bhopal,"₹
15 Lac
₹1,250 per sqft","PLOT AREA
1200 sqft
OWNERSHIP
Freehold
TRANSACTION
Resale"
Plot/Land for Sale in Bagli Village Bhopal,"₹
75 Lac
₹1,500 per sqft","PLOT AREA
5000 sqft
TRANSACTION
Resale
BOUNDARY
Yes"
Land for Sale in Hoshangabad Road Bhopal,"₹
3.25 Cr
₹13,542 per sqft","BUILT AREA
2400 sqft
TRANSACTION
Resale"
3 BHK House for Sale in Gulmohar Colony Bhopal,"₹
2.30 Cr
₹10,455 per sqft","SUPER AREA
2200 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
1 BHK House for Sale in Mandideep Bhopal,"₹
19 Lac
₹3,393 per sqft","SUPER AREA
560 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
Showroom for Sale in New Market Bhopal,"₹
1.50 Cr
₹21,429 per sqft","CARPET AREA
700 sqft
STATUS
Ready to Move
FLOOR
Ground out of 2"
1 BHK Villa for Sale in Kolar Road Bhopal,"₹
55 Lac
₹5,000 per sqft","CARPET AREA
1000 sqft
STATUS
Ready to Move
TRANSACTION
New Property"
Plot/Land for Sale in Misrod Bhopal,"₹
1.32 Cr
₹2,400 per sqft","PLOT AREA
5500 sqft
OWNERSHIP
Freehold
TRANSACTION
New Property"
Plot/Land for Sale in Eint Khedi Bhopal,"₹
3 Lac
₹500 per sqft","PLOT AREA
600 sqft
TRANSACTION
Resale
FLOORS ALLOWED FOR CONSTRUCTION
Congo"
5 BHK House for Sale in Hoshangabad Road Bhopal,"₹
74 Lac
₹3,524 per sqft","CARPET AREA
1150 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
"2 BHK Apartment for Sale in Fortune Kasturi, Hoshangabad Road Bhopal","₹
33 Lac
₹2,548 per sqft","SUPER AREA
1295 sqft
STATUS
Ready to Move
FLOOR
5 out of 6"
"3 BHK Apartment for Sale in Agrawal Sagar Lakeview Homes, Vrindavan Nagar Bhopal","₹
60 Lac
₹3,468 per sqft","CARPET AREA
1540 sqft
STATUS
Ready to Move
FLOOR
5 out of 6"
4 BHK House for Sale in Minal Residency Bhopal,"₹
76 Lac","CARPET AREA
1450 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
3 BHK Villa for Sale in Ayodhya Bypass Bhopal,"₹
1.05 Cr
₹6,562 per sqft","CARPET AREA
1500 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
5 BHK House for Sale in Kanha Kunj Bhopal,"₹
1.50 Cr
₹6,250 per sqft","CARPET AREA
1800 sqft
STATUS
Ready to Move
TRANSACTION
Resale"
"3 BHK Apartment for Sale in Aryavrat British Park, Hoshangabad Road Bhopal","₹
45 Lac
₹2,083 per sqft","CARPET AREA
1810 sqft
STATUS
Ready to Move
FLOOR
5 out of 10"
2 BHK Apartment for Sale in Bhopal,"₹
35.9 Lac
₹2,992 per sqft","CARPET AREA
850 sqft
STATUS
Ready to Move
FLOOR
5 out of 6"
